timestamp(s),temperature(degrees)
0,22.8125
3,22.8435
6,22.8745
9,22.906
12,22.906
15,23.0625
18,23.2185
21,23.437
24,23.656
27,23.8435
30,24.0935
33,24.3435
36,24.6245
39,24.875
42,25.0935
45,25.406
48,25.687
51,25.9375
54,26.2185
57,26.5625
60,26.875
63,27.156
66,27.531
69,27.8435
72,28.2185
75,28.531
78,28.8435
81,29.2185
84,29.5625
87,29.937
90,30.2495
93,30.5935
96,30.937
99,31.281
102,31.5935
105,31.8435
108,32.0935
111,32.375
114,32.531
117,32.7495
120,32.906
123,33.062
126,33.1875
129,33.3435
132,33.437
135,33.531
138,33.625
141,33.6875
144,33.75
147,33.8125
150,33.875
153,33.906
156,33.9375
159,33.937
162,33.9685
165,33.9685
168,34
171,33.9995
174,34
177,33.9685
180,33.9685
183,33.9685
186,33.9375
189,33.9375
192,33.875
195,33.875
198,33.8435
201,33.781
204,33.7495
207,33.7185
210,33.656
213,33.656
216,33.6245
219,33.531
222,33.5
225,33.437
228,33.406
231,33.3745
234,33.3125
237,33.281
240,33.2185
243,33.187
246,33.125
249,33.062
252,33
255,32.9685
258,32.906
261,32.8125
264,32.781
267,32.7185
270,32.687
273,32.625
276,32.5935
279,32.5
282,32.5
285,32.437
288,32.3435
291,32.312
294,32.25
297,32.1875
300,32.1245
303,32.0935
306,32.031
309,31.9995
312,31.9375
315,31.8745
318,31.8125
321,31.7495
324,31.6875
327,31.656
330,31.6245
333,31.5625
336,31.4995
339,31.4685
342,31.406
345,31.3435
348,31.281
351,31.281
354,31.2185
357,31.156
360,31.0935
363,31.062
366,31
369,30.937
372,30.906
375,30.8435
378,30.812
381,30.781
384,30.7185
387,30.656
390,30.625
393,30.562
396,30.562
399,30.5
402,30.437
405,30.375
408,30.3435
411,30.312
414,30.25
417,30.187
420,30.187
423,30.125
426,30.0935
429,30.062
432,30
435,29.937
438,29.906
441,29.875
444,29.812
447,29.812
450,29.75
453,29.687
456,29.656
459,29.625
462,29.562
465,29.562
468,29.5
471,29.437
474,29.437
477,29.375
480,29.3435
483,29.312
486,29.281
489,29.25
492,29.187
495,29.156
498,29.0935
501,29.0935
504,29.062
507,29.031
510,29
513,28.937
516,28.906
519,28.875
522,28.812
525,28.812
528,28.781
531,28.7185
534,28.687
537,28.656
540,28.625
543,28.5935
546,28.562
549,28.531
552,28.5
555,28.4685
558,28.406
561,28.406
564,28.375
567,28.3435
570,28.312
573,28.281
576,28.25
579,28.2185
582,28.156
585,28.156
588,28.125
591,28.0935
594,28.062
597,28.031
600,28.031
603,27.9685
606,27.937
609,27.906
612,27.875
615,27.8435
618,27.8435
621,27.812
624,27.75
627,27.75
630,27.7185
633,27.7185
636,27.656
639,27.656
642,27.5935
645,27.562
648,27.531
651,27.531
654,27.4685
657,27.4685
660,27.4375
663,27.406
666,27.406
669,27.3435
672,27.3435
675,27.281
678,27.281
681,27.25
684,27.2185
687,27.2185
690,27.156
693,27.156
696,27.125
699,27.125
702,27.0935
705,27.0935
708,27.031
711,27.031
714,27
717,26.9685
720,26.9685
723,26.937
726,26.906
729,26.875
732,26.8435
735,26.8435
738,26.812
741,26.781
744,26.781
747,26.7185
750,26.7185
753,26.7185
756,26.656
759,26.656
762,26.6245
765,26.5935
768,26.5935
771,26.5625
774,26.562
777,26.531
780,26.531
783,26.4685
786,26.4685
789,26.4685
792,26.406
795,26.406
798,26.406
801,26.3435
804,26.3435
807,26.3435
810,26.312
813,26.312
816,26.281
819,26.25
822,26.2185
825,26.2185
828,26.1875
831,26.156
834,26.156
837,26.156
840,26.156
843,26.0935
846,26.0935
849,26.062
852,26.031
855,26.031
858,26
861,25.9995
864,25.9685
867,25.9685
870,25.937
873,25.906
876,25.906
879,25.906
882,25.906
885,25.8435
888,25.8435
891,25.8435
894,25.781
897,25.781
900,25.781
903,25.75
906,25.7185
909,25.7185
912,25.7185
915,25.7185
918,25.687
921,25.656
924,25.656
927,25.656
930,25.625
933,25.5935
936,25.5935
939,25.5935
942,25.531
945,25.531
948,25.531
951,25.531
954,25.5
957,25.4685
960,25.4685
963,25.4685
966,25.4685
969,25.406
972,25.406
975,25.406
978,25.406
981,25.3745
984,25.3435
987,25.3435
990,25.3435
993,25.3435
996,25.3125
999,25.281
1002,25.281
1005,25.281
1008,25.281
1011,25.2495
1014,25.2185
1017,25.2185
1020,25.2185
1023,25.1875
1026,25.1875
1029,25.156
1032,25.156
1035,25.156
1038,25.125
1041,25.0935
1044,25.0935
1047,25.0935
1050,25.0935
1053,25.0625
1056,25.031
1059,25.031
1062,25.031
1065,25.031
1068,25.031
1071,24.9685
1074,24.9685
1077,24.9685
1080,24.9685
1083,25
1086,25.031
1089,25.1245
1092,25.2185
1095,25.3435
1098,25.437
1101,25.5935
1104,25.781
1107,25.9375
1110,26.125
1113,26.3435
1116,26.5935
1119,26.8435
1122,27.0935
1125,27.375
1128,27.656
1131,27.9685
1134,28.281
1137,28.5625
1140,28.875
1143,29.156
1146,29.5
1149,29.7495
1152,30.062
1155,30.375
1158,30.6875
1161,31
1164,31.312
1167,31.531
1170,31.781
1173,32.031
1176,32.2185
1179,32.437
1182,32.5935
1185,32.781
1188,32.937
1191,33.062
1194,33.156
1197,33.2185
1200,33.3435
1203,33.4375
1206,33.5
1209,33.531
1212,33.5935
1215,33.625
1218,33.6875
1221,33.687
1224,33.7185
1227,33.7185
1230,33.75
1233,33.781
1236,33.781
1239,33.75
1242,33.7185
1245,33.7495
1248,33.7185
1251,33.687
1254,33.656
1257,33.656
1260,33.5935
1263,33.562
1266,33.531
1269,33.531
1272,33.4995
1275,33.4375
1278,33.437
1281,33.375
1284,33.312
1287,33.281
1290,33.2495
1293,33.2185
1296,33.156
1299,33.0935
1302,33.062
1305,33.031
1308,32.9685
1311,32.906
1314,32.8745
1317,32.8125
1320,32.781
1323,32.7185
1326,32.656
1329,32.625
1332,32.562
1335,32.5
1338,32.4685
1341,32.437
1344,32.375
1347,32.3435
1350,32.281
1353,32.2185
1356,32.156
1359,32.1245
1362,32.0625
1365,31.9995
1368,31.9375
1371,31.9375
1374,31.8745
1377,31.8125
1380,31.781
1383,31.7185
1386,31.656
1389,31.6245
1392,31.5935
1395,31.531
1398,31.4685
1401,31.406
1404,31.3435
1407,31.3435
1410,31.281
1413,31.2185
1416,31.187
1419,31.156
1422,31.0935
1425,31.062
1428,31
1431,30.937
1434,30.875
1437,30.875
1440,30.812
1443,30.781
1446,30.75
1449,30.687
1452,30.625
1455,30.625
1458,30.562
1461,30.5
1464,30.437
1467,30.437
1470,30.375
1473,30.375
1476,30.312
1479,30.25
1482,30.2185
1485,30.187
1488,30.125
1491,30.0935
1494,30.062
1497,30
1500,30
1503,29.937
1506,29.875
1509,29.8435
1512,29.781
1515,29.75
1518,29.7185
1521,29.687
1524,29.656
1527,29.625
1530,29.562
1533,29.531
1536,29.5
1539,29.4685
1542,29.437
1545,29.375
1548,29.3435
1551,29.312
1554,29.25
1557,29.25
1560,29.187
1563,29.187
1566,29.125
1569,29.125
1572,29.062
1575,29.062
1578,29
1581,28.9685
1584,28.937
1587,28.906
1590,28.875
1593,28.8435
1596,28.781
1599,28.75
1602,28.75
1605,28.687
1608,28.656
1611,28.656
1614,28.625
1617,28.5935
1620,28.531
1623,28.5
1626,28.4685
1629,28.437
1632,28.406
1635,28.406
1638,28.375
1641,28.312
1644,28.281
1647,28.281
1650,28.2185
1653,28.2185
1656,28.2185
1659,28.156
1662,28.156
1665,28.0935
1668,28.0935
1671,28.062
1674,28.031
1677,27.9685
1680,27.9685
1683,27.937
1686,27.906
1689,27.906
1692,27.8435
1695,27.8435
1698,27.781
1701,27.781
1704,27.7185
1707,27.7185
1710,27.687
1713,27.656
1716,27.656
1719,27.625
1722,27.5935
1725,27.562
1728,27.531
1731,27.531
1734,27.4995
1737,27.4685
1740,27.406
1743,27.406
1746,27.406
1749,27.3435
1752,27.3435
1755,27.312
1758,27.281
1761,27.25
1764,27.25
1767,27.2185
1770,27.1875
1773,27.156
1776,27.156
1779,27.1245
1782,27.0935
1785,27.0935
1788,27.062
1791,27.031
1794,27.031
1797,26.9685
1800,26.9685
1803,26.9685
1806,26.937
1809,26.906
1812,26.875
1815,26.8435
1818,26.8435
1821,26.8435
1824,26.781
1827,26.781
1830,26.781
1833,26.781
1836,26.7185
1839,26.7185
1842,26.656
1845,26.6875
1848,26.656
1851,26.6245
1854,26.5935
1857,26.5935
1860,26.562
1863,26.531
1866,26.531
1869,26.531
1872,26.4685
1875,26.4685
1878,26.4685
1881,26.4685
1884,26.406
1887,26.406
1890,26.3745
1893,26.3435
1896,26.3435
1899,26.3125
1902,26.281
1905,26.281
1908,26.281
1911,26.2185
1914,26.2185
1917,26.2185
1920,26.1875
1923,26.156
1926,26.156
1929,26.1245
1932,26.156
1935,26.0935
1938,26.0935
1941,26.0935
1944,26.031
1947,26.031
1950,26.031
1953,26.031
1956,25.9995
1959,25.9685
1962,25.9685
1965,25.9685
1968,25.906
1971,25.906
